location,vegetation_ground_cover_off_site,vegetation_ground_cover_on_site,rock_substrate,grassedge_cover_on_site,grassedge_cover_off_site,use_level,sum_area_feet_squared,condition_class,access_trails,exposed_soil,distance_to_water,Composite Score,site_issue
Thousand Island Lake,51-75%,0-5%,0-5%,0-5%,51-75%,,70,Class 4,2,100,1,,Less than 100 feet from trail 
Island Pass,76-95%,6-25%,6-25%,6-25%,76-95%,Medium,450,Class 3,0,60,1,,Less than 100 feet from trail 
Thousand Island Lake,6-25%,0-5%,26-50%,0-5%,6-25%,Medium,40,Class 3,1,50,1,,"Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,51-75%,6-25%,0-5%,6-25%,51-75%,Medium,136,Class 3,0,75,1,,"Within Restricted area (Lake outlet, closure, etc)"
Island Pass,76-95%,0-5%,0-5%,0-5%,51-75%,Medium,384,Class 3,10,92,1,,Less than 100 feet from trail 
Thousand Island Lake,96-100%,26-50%,0-5%,26-50%,96-100%,Medium,150,Class 2,0,10,3,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Thousand Island Lake,76-95%,26-50%,0-5%,26-50%,51-75%,Medium,300,Class 3,1,70,4,,"Less than 100 feet from water, Less than 100 feet from trail "
Thousand Island Lake,76-95%,6-25%,0-5%,6-25%,76-95%,Medium,70,Class 3,0,70,1,,Less than 100 feet from trail 
Thousand Island Lake,26-50%,0-5%,26-50%,0-5%,26-50%,Low,60,Class 1,0,30,2,,"Less than 100 feet from water, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Island Pass,76-95%,26-50%,0-5%,26-50%,51-75%,Medium,224,Class 3,1,60,4,,"Less than 100 feet from water, Less than 100 feet from trail "
Island Pass,76-95%,6-25%,6-25%,6-25%,96-100%,High,72,Class 4,0,90,3,,"Less than 100 feet from water, Less than 100 feet from trail "
Island Pass,26-50%,0-5%,0-5%,0-5%,26-50%,Medium,140,Class 3,0,40,1,,Less than 100 feet from trail 
Thousand Island Lake,26-50%,0-5%,51-75%,0-5%,26-50%,,100,Class 3,0,40,2,,"Less than 100 feet from water, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Davis Lake Region,76-95%,26-50%,0-5%,6-25%,76-95%,Medium,400,Class 3,0,50,2,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation"
Island Pass,96-100%,6-25%,0-5%,6-25%,96-100%,Medium,100,Class 3,1,60,4,,Less than 100 feet from water
Island Pass,51-75%,0-5%,0-5%,0-5%,26-50%,High,168,Class 4,0,95,1,,Less than 100 feet from trail 
Island Pass,26-50%,0-5%,0-5%,0-5%,26-50%,Medium,80,Class 3,0,40,1,,Less than 100 feet from trail 
Island Pass,26-50%,0-5%,0-5%,0-5%,26-50%,Medium,50,Class 3,0,90,2,,"Less than 100 feet from water, Less than 100 feet from trail "
Island Pass,51-75%,0-5%,0-5%,0-5%,51-75%,Medium,96,Class 3,1,30,1,,Less than 100 feet from trail 
Island Pass,26-50%,6-25%,0-5%,6-25%,26-50%,Low,200,Class 2,0,35,1,,Less than 100 feet from trail 
Island Pass,51-75%,0-5%,0-5%,0-5%,51-75%,High,50,Class 3,0,95,1,,Less than 100 feet from trail 
Island Pass,76-95%,0-5%,6-25%,0-5%,51-75%,Low,120,Class 2,1,15,1,,Less than 100 feet from trail 
Island Pass,51-75%,0-5%,0-5%,0-5%,51-75%,Low,150,Class 2,1,5,1,,Less than 100 feet from trail 
Island Pass,76-95%,0-5%,6-25%,0-5%,76-95%,Medium,150,Class 4,2,70,1,,Less than 100 feet from trail 
Marie Lakes Region,6-25%,0-5%,0-5%,0-5%,6-25%,Medium,40,Class 3,0,95,4,,Less than 100 feet from water
Marie Lakes Region,76-95%,76-95%,0-5%,76-95%,76-95%,Low,112,Class 2,0,20,4,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation"
Rush Creek,96-100%,6-25%,0-5%,6-25%,96-100%,Low,150,Class 2,1,40,4,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation, Less than 100 feet from trail "
Marie Lakes Region,6-25%,0-5%,0-5%,0-5%,6-25%,Low,30,Class 3,0,90,3,,Less than 100 feet from water
Rush Creek,6-25%,0-5%,0-5%,0-5%,6-25%,Medium,60,Class 2,0,10,3,,Less than 100 feet from water
Rush Creek,76-95%,26-50%,0-5%,26-50%,76-95%,Low,192,Class 2,0,0,3,,Less than 100 feet from water
Rush Creek,76-95%,6-25%,0-5%,6-25%,76-95%,Low,300,Class 2,1,5,3,,"Less than 100 feet from water, Less than 100 feet from trail "
Rush Creek,96-100%,6-25%,0-5%,6-25%,96-100%,Low,500,Class 2,1,5,1,,In Meadow/ on Soft Vegetation
Rush Creek,6-25%,0-5%,0-5%,0-5%,6-25%,High,35,Class 4,0,90,1,,Less than 100 feet from trail 
Rush Creek,26-50%,0-5%,0-5%,0-5%,26-50%,Low,60,Class 3,0,65,4,,"Less than 100 feet from water, Less than 100 feet from trail "
Rush Creek,26-50%,0-5%,6-25%,0-5%,26-50%,High,72,Class 2,0,20,1,,Less than 100 feet from trail 
Thousand Island Lake,26-50%,0-5%,6-25%,0-5%,26-50%,Low,96,Class 4,0,95,4,,"Less than 100 feet from water, Within Restricted area (Lake outlet, closure, etc)"
Rush Creek,51-75%,0-5%,6-25%,0-5%,51-75%,High,36,Class 3,0,40,1,,Less than 100 feet from trail 
Rush Creek,51-75%,0-5%,0-5%,0-5%,26-50%,High,221,Class 4,1,96,1,,Less than 100 feet from trail 
Rush Creek,51-75%,6-25%,6-25%,6-25%,51-75%,Medium,60,Class 3,0,70,1,,Less than 100 feet from trail 
Rush Creek,51-75%,0-5%,0-5%,0-5%,51-75%,High,50,Class 4,0,100,1,,Less than 100 feet from trail 
Rush Creek,26-50%,0-5%,0-5%,0-5%,26-50%,Medium,150,Class 3,0,20,3,,"Less than 100 feet from water, Less than 100 feet from trail "
Rush Creek,6-25%,0-5%,0-5%,0-5%,6-25%,High,120,Class 4,0,95,3,,"Less than 100 feet from water, Less than 100 feet from trail "
Marie Lakes Region,76-95%,0-5%,0-5%,0-5%,76-95%,Medium,300,Class 4,0,95,4,,Less than 100 feet from water
Rush Creek,76-95%,0-5%,0-5%,0-5%,76-95%,High,250,Class 5,0,95,2,,"Less than 100 feet from water, Less than 100 feet from trail "
Marie Lakes Region,51-75%,6-25%,6-25%,6-25%,51-75%,Low,60,Class 2,0,15,3,,Less than 100 feet from water
Rush Creek,76-95%,0-5%,6-25%,0-5%,51-75%,Low,780,Class 2,3,10,4,,Less than 100 feet from water
Rush Creek,6-25%,0-5%,6-25%,0-5%,6-25%,Medium,180,Class 2,0,0,1,,Less than 100 feet from trail 
Marie Lakes Region,0-5%,0-5%,96-100%,0-5%,0-5%,Low,60,Rock (R),0,10,2,,Less than 100 feet from water
Marie Lakes Region,51-75%,0-5%,6-25%,0-5%,51-75%,High,400,Class 4,0,95,3,,Less than 100 feet from water
Donahue Pass Basin,76-95%,6-25%,0-5%,6-25%,76-95%,Low,100,Class 3,0,75,2,,"Less than 100 feet from water, Less than 100 feet from trail "
Donahue Pass Basin,26-50%,0-5%,6-25%,0-5%,6-25%,High,100,Class 4,0,90,3,,Less than 100 feet from water
Donahue Pass Basin,26-50%,0-5%,6-25%,0-5%,26-50%,Low,120,Class 4,0,85,3,,Less than 100 feet from water
Donahue Pass Basin,76-95%,0-5%,6-25%,0-5%,76-95%,High,72,Class 3,0,30,2,,"Less than 100 feet from water, In Meadow/ on Soft Vegetation, Less than 100 feet from trail "
Donahue Pass Basin,76-95%,0-5%,0-5%,0-5%,76-95%,Medium,84,Class 4,0,95,1,,Less than 100 feet from trail 
Donahue Pass Basin,76-95%,0-5%,6-25%,0-5%,76-95%,High,80,Class 3,0,60,4,,"Less than 100 feet from water, Less than 100 feet from trail "
Donahue Pass Basin,26-50%,0-5%,6-25%,0-5%,26-50%,Medium,48,Class 2,0,20,1,,Less than 100 feet from trail 
Thousand Island Lake,51-75%,0-5%,6-25%,0-5%,51-75%,Medium,30,Class 2,0,40,4,,"Less than 100 feet from water, Less than 100 feet from trail , Within Restricted area (Lake outlet, closure, etc)"
Donahue Pass Basin,6-25%,0-5%,51-75%,0-5%,6-25%,Low,48,Class 2,0,5,1,,Less than 100 feet from trail 
Donahue Pass Basin,26-50%,0-5%,51-75%,0-5%,6-25%,Medium,40,Class 2,0,10,1,,Less than 100 feet from trail 
Donahue Pass Basin,76-95%,6-25%,6-25%,6-25%,76-95%,Medium,50,Class 3,0,70,2,,Less than 100 feet from water
Donahue Pass Basin,51-75%,6-25%,51-75%,0-5%,6-25%,Low,60,Class 2,0,10,2,,Less than 100 feet from water
